iter	RMSE
0	3.894378726
1	3.811895051
2	3.732738988
3	3.652060685
4	3.582783838
5	3.518219178
6	3.452077306
7	3.386061171
8	3.334950647
9	3.280707312
10	3.23208722
11	3.182765092
12	3.134555446
13	3.094814293
14	3.05149111
15	3.016433355
16	2.9837533
17	2.950312546
18	2.91932486
19	2.88896906
20	2.858886829
21	2.834597306
22	2.809928588
23	2.785716843
24	2.764133018
25	2.740306752
26	2.7185413
27	2.698392469
28	2.680599586
29	2.662892927
30	2.645915867
31	2.631610134
32	2.615500921
33	2.600661316
34	2.587082001
35	2.571997051
36	2.557929317
37	2.545395595
38	2.532228399
39	2.521279439
40	2.510651292
41	2.497950116
42	2.487690166
43	2.477023048
44	2.465727126
45	2.455513621
46	2.444551097
47	2.43544132
48	2.424618322
49	2.415510863
50	2.408002909
51	2.39979656
52	2.391351145
53	2.382371328
54	2.375565178
55	2.368340139
56	2.361461829
57	2.352965515
58	2.346366734
59	2.338839793
60	2.331216329
61	2.324037673
62	2.317465516
63	2.310283696
64	2.303962643
65	2.297847948
66	2.292406973
67	2.285846324
68	2.279752439
69	2.274052794
70	2.268775157
71	2.263326505
72	2.257859659
73	2.253359197
74	2.248138096
75	2.243526736
76	2.23766433
77	2.232227387
78	2.226262716
79	2.22213448
80	2.216308313
81	2.212412658
82	2.208632743
83	2.204078712
84	2.19937639
85	2.19577584
86	2.191287043
87	2.186971689
88	2.182503349
89	2.177969731
90	2.173559574
91	2.16897817
92	2.165234446
93	2.161452146
94	2.156766657
95	2.151952347
96	2.148894265
97	2.145559612
98	2.14099421
99	2.137511009
100	2.134290246
101	2.130068131
102	2.12727759
103	2.124210907
104	2.121515228
105	2.118626145
106	2.11578095
107	2.113014682
108	2.109332456
109	2.105979817
110	2.103036502
111	2.100339616
112	2.097540419
113	2.095206527
114	2.092877683
115	2.089654706
116	2.087521909
117	2.085590352
118	2.082585155
119	2.080176557
120	2.077054898
121	2.074719136
122	2.0716435
123	2.069028116
124	2.067274124
125	2.064910612
126	2.062020873
127	2.05996969
128	2.058396925
129	2.057151231
130	2.055468814
131	2.053148944
132	2.050984001
133	2.049381393
134	2.047610037
135	2.045593497
136	2.043452638
137	2.040615592
138	2.038539338
139	2.036798418
140	2.034816569
141	2.033064078
