iter	Passed	Remaining
0	4	4043
1	7	3778
2	10	3479
3	13	3377
4	16	3359
5	20	3401
6	23	3307
7	25	3222
8	28	3178
9	31	3124
10	34	3123
11	37	3092
12	40	3061
13	43	3036
14	45	3008
15	48	2971
16	51	2963
17	53	2937
18	56	2917
19	59	2914
20	62	2911
21	65	2895
22	68	2890
23	70	2877
24	73	2858
25	75	2846
26	78	2836
27	81	2827
28	84	2821
29	86	2809
30	90	2813
31	92	2797
32	94	2779
33	97	2775
34	100	2767
35	102	2757
36	105	2753
37	108	2747
38	111	2737
39	114	2736
40	116	2734
41	119	2732
42	122	2728
43	125	2717
44	127	2707
45	130	2705
46	133	2705
47	135	2696
48	138	2690
49	141	2683
50	143	2675
51	147	2680
52	149	2672
53	152	2667
54	154	2660
55	157	2654
56	160	2647
57	163	2653
58	166	2647
59	168	2641
60	171	2638
61	173	2631
62	176	2629
63	179	2628
64	182	2623
65	184	2617
66	187	2610
67	189	2603
68	192	2602
69	196	2604
70	198	2598
71	201	2593
72	203	2586
73	206	2583
74	211	2612
75	214	2609
76	217	2606
77	219	2600
78	222	2596
79	225	2594
80	228	2590
81	230	2586
82	233	2583
83	236	2584
84	239	2580
85	242	2580
86	245	2575
87	247	2569
88	250	2564
89	253	2560
90	255	2556
91	258	2555
92	261	2550
93	264	2545
94	266	2541
95	269	2537
96	271	2531
97	275	2531
98	277	2526
99	280	2521
100	282	2517
101	285	2512
102	288	2508
103	290	2506
104	293	2503
105	296	2499
106	299	2497
107	301	2493
108	304	2489
109	307	2487
110	310	2483
111	312	2480
112	316	2480
113	319	2479
114	321	2477
115	324	2473
116	327	2468
117	329	2464
118	332	2460
119	334	2455
120	337	2453
121	340	2448
122	342	2442
123	345	2439
124	347	2434
125	350	2429
126	353	2429
127	356	2426
128	358	2423
129	361	2418
130	363	2414
131	366	2409
132	369	2408
133	372	2405
134	374	2401
135	377	2398
136	379	2393
137	382	2388
138	385	2386
139	388	2384
140	390	2381
141	393	2377
142	395	2373
143	398	2368
144	401	2365
145	404	2364
146	407	2362
147	409	2358
148	412	2355
149	414	2351
150	417	2349
151	420	2347
152	423	2343
153	425	2339
154	428	2336
155	431	2332
156	434	2331
157	436	2328
158	439	2323
159	441	2320
160	444	2315
161	447	2312
162	450	2312
163	453	2311
164	456	2308
165	458	2304
166	461	2301
167	464	2301
168	468	2302
169	471	2302
170	474	2299
171	477	2300
172	481	2300
173	484	2298
174	487	2296
175	490	2295
176	493	2294
177	496	2291
178	499	2289
179	502	2287
180	505	2285
181	508	2285
182	511	2284
183	514	2283
184	517	2279
185	519	2275
186	522	2271
187	525	2268
188	527	2264
189	531	2264
190	533	2260
191	536	2256
192	539	2255
193	542	2251
194	545	2251
195	548	2248
196	551	2246
197	553	2243
198	556	2239
199	559	2237
200	562	2236
201	565	2232
202	568	2231
203	571	2229
204	574	2227
205	577	2225
206	580	2222
207	582	2219
208	585	2215
209	587	2211
210	590	2207
211	593	2206
212	596	2203
213	599	2201
214	602	2200
215	605	2196
216	608	2194
217	610	2191
218	613	2187
219	616	2184
220	618	2181
221	621	2177
222	624	2175
223	627	2172
224	629	2169
225	632	2165
226	634	2162
227	637	2158
228	639	2154
229	642	2152
230	645	2149
231	648	2145
232	650	2142
233	653	2138
234	656	2136
235	658	2133
236	661	2130
237	664	2126
238	666	2122
239	668	2118
240	671	2116
241	674	2114
242	677	2110
243	680	2107
244	682	2104
245	685	2100
246	688	2098
247	691	2096
248	693	2092
249	696	2088
250	698	2084
251	701	2080
252	704	2080
253	707	2078
254	710	2075
255	713	2072
256	715	2069
257	718	2066
258	721	2064
259	724	2061
260	726	2057
261	729	2054
262	732	2053
263	735	2051
